,week_start_date,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases
2001-06-04/2001-06-10,2001-06-04,16.9228571429,295.568571429,28.0714285714,23.9,16.0
2001-06-11/2001-06-17,2001-06-11,17.25,295.888571429,28.5142857143,23.9,12.0
2001-06-18/2001-06-24,2001-06-18,16.5628571429,295.207142857,27.7285714286,23.9,11.0
2001-06-25/2001-07-01,2001-06-25,17.6357142857,296.248571429,28.6285714286,23.9,18.0
2001-07-02/2001-07-08,2001-07-02,17.7457142857,296.354285714,28.2285714286,24.4,10.0
2001-07-09/2001-07-15,2001-07-09,17.7442857143,296.348571429,28.3428571429,23.9,22.0
2001-07-16/2001-07-22,2001-07-16,17.4742857143,296.085714286,28.1142857143,22.8,14.0
2001-07-23/2001-07-29,2001-07-23,17.7714285714,296.357142857,28.5857142857,23.9,16.0
2001-07-30/2001-08-05,2001-07-30,17.7585714286,296.364285714,28.0571428571,23.3,18.0
2001-08-06/2001-08-12,2001-08-06,18.3314285714,296.9,27.9285714286,23.9,27.0
2001-08-13/2001-08-19,2001-08-13,18.8928571429,297.38,28.6428571429,25.6,38.0
2001-08-20/2001-08-26,2001-08-20,18.7528571429,297.227142857,28.9714285714,25.6,35.0
2001-08-27/2001-09-02,2001-08-27,17.8242857143,296.4,28.2714285714,23.3,41.0
2001-09-03/2001-09-09,2001-09-03,18.1857142857,296.73,27.9,23.3,51.0
2001-09-10/2001-09-16,2001-09-10,17.9028571429,296.452857143,28.3714285714,23.9,65.0
2001-09-17/2001-09-23,2001-09-17,18.1757142857,296.7,28.0857142857,23.9,55.0
2001-09-24/2001-09-30,2001-09-24,17.9014285714,296.437142857,27.9714285714,23.9,54.0
2001-10-01/2001-10-07,2001-10-01,18.4757142857,296.957142857,29.2285714286,24.4,62.0
2001-10-08/2001-10-14,2001-10-08,18.3971428571,296.917142857,28.4,23.9,64.0
2001-10-15/2001-10-21,2001-10-15,17.8771428571,296.397142857,26.8571428571,22.8,56.0
2001-10-22/2001-10-28,2001-10-22,18.0114285714,296.53,27.9142857143,22.8,65.0
2001-10-29/2001-11-04,2001-10-29,18.1557142857,296.687142857,27.9428571429,24.4,71.0
2001-11-05/2001-11-11,2001-11-05,16.7514285714,295.324285714,26.7285714286,20.0,75.0
2001-11-12/2001-11-18,2001-11-12,17.3085714286,295.875714286,26.5857142857,22.2,71.0
2001-11-19/2001-11-25,2001-11-19,16.9728571429,295.56,26.5285714286,22.8,72.0
2001-11-26/2001-12-02,2001-11-26,15.4142857143,293.951428571,26.3428571429,22.8,47.0
2001-12-03/2001-12-09,2001-12-03,14.7714285714,293.235714286,25.2857142857,20.6,27.0
2001-12-10/2001-12-16,2001-12-10,17.1914285714,295.758571429,26.3142857143,22.8,35.0
2001-12-17/2001-12-23,2001-12-17,16.92,295.511428571,25.6,22.8,25.0
2001-12-24/2001-12-30,2001-12-24,17.2342857143,295.797142857,25.6714285714,22.8,19.0
2001-12-31/2002-01-06,2002-01-01,15.81,294.481428571,25.5285714286,20.6,37.0
2002-01-07/2002-01-13,2002-01-08,16.1785714286,294.841428571,25.4571428571,21.7,38.0
2002-01-14/2002-01-20,2002-01-15,15.5185714286,294.145714286,25.3285714286,21.1,34.0
2002-01-21/2002-01-27,2002-01-22,15.5514285714,294.212857143,26.2142857143,22.2,26.0
2002-01-28/2002-02-03,2002-01-29,15.1871428571,293.847142857,25.6571428571,21.7,19.0
2002-02-04/2002-02-10,2002-02-05,14.7342857143,293.344285714,24.9714285714,20.6,18.0
2002-02-11/2002-02-17,2002-02-12,14.7542857143,293.365714286,25.4142857143,20.6,22.0
2002-02-18/2002-02-24,2002-02-19,14.9314285714,293.545714286,25.7857142857,21.1,16.0
2002-02-25/2002-03-03,2002-02-26,13.5928571429,292.0,25.2,21.1,18.0
2002-03-04/2002-03-10,2002-03-05,13.7814285714,292.252857143,25.4571428571,20.6,6.0
2002-03-11/2002-03-17,2002-03-12,14.53,293.081428571,25.8428571429,22.2,12.0
2002-03-18/2002-03-24,2002-03-19,14.6285714286,293.217142857,25.7857142857,20.6,6.0
2002-03-25/2002-03-31,2002-03-26,14.97,293.542857143,26.7571428571,22.2,6.0
2002-04-01/2002-04-07,2002-04-02,15.4685714286,294.054285714,26.2285714286,21.7,3.0
2002-04-08/2002-04-14,2002-04-09,16.2085714286,294.831428571,27.1142857143,22.8,7.0
2002-04-15/2002-04-21,2002-04-16,13.6385714286,292.061428571,25.4571428571,21.7,6.0
2002-04-22/2002-04-28,2002-04-23,16.3685714286,295.01,25.7,21.7,1.0
2002-04-29/2002-05-05,2002-04-30,16.5357142857,295.161428571,26.4571428571,22.8,3.0
2002-05-06/2002-05-12,2002-05-07,16.3085714286,294.95,26.4428571429,22.8,2.0
2002-05-13/2002-05-19,2002-05-14,15.7885714286,294.441428571,26.1428571429,21.7,2.0
2002-05-20/2002-05-26,2002-05-21,16.6271428571,295.274285714,27.7142857143,23.3,1.0
2002-05-27/2002-06-02,2002-05-28,16.7571428571,295.38,28.1714285714,23.3,10.0
2002-06-03/2002-06-09,2002-06-04,17.6585714286,296.215714286,28.4428571429,23.3,3.0
2002-06-10/2002-06-16,2002-06-11,17.7671428571,296.338571429,28.4571428571,24.4,3.0
2002-06-17/2002-06-23,2002-06-18,17.8014285714,296.397142857,28.5285714286,24.4,1.0
2002-06-24/2002-06-30,2002-06-25,17.3571428571,295.99,27.5857142857,22.8,1.0
2002-07-01/2002-07-07,2002-07-02,17.3985714286,296.062857143,28.3428571429,25.0,2.0
2002-07-08/2002-07-14,2002-07-09,17.4328571429,296.065714286,28.1571428571,23.3,6.0
2002-07-15/2002-07-21,2002-07-16,17.8085714286,296.42,28.2857142857,23.9,3.0
2002-07-22/2002-07-28,2002-07-23,17.26,295.912857143,28.2285714286,23.3,3.0
2002-07-29/2002-08-04,2002-07-30,18.4471428571,296.987142857,28.4857142857,24.4,5.0
2002-08-05/2002-08-11,2002-08-06,18.2014285714,296.742857143,28.4714285714,25.0,4.0
2002-08-12/2002-08-18,2002-08-13,18.3642857143,296.897142857,28.7428571429,23.9,7.0
2002-08-19/2002-08-25,2002-08-20,18.2457142857,296.8,28.0,23.3,6.0
2002-08-26/2002-09-01,2002-08-27,17.9728571429,296.541428571,28.6428571429,24.4,5.0
2002-09-02/2002-09-08,2002-09-03,18.0985714286,296.604285714,27.5,22.8,7.0
2002-09-09/2002-09-15,2002-09-10,18.1914285714,296.722857143,29.1571428571,24.4,6.0
2002-09-16/2002-09-22,2002-09-17,18.6514285714,297.124285714,28.6571428571,23.3,4.0
2002-09-23/2002-09-29,2002-09-24,18.2442857143,296.732857143,28.2,23.9,4.0
2002-09-30/2002-10-06,2002-10-01,18.6742857143,297.128571429,27.7714285714,22.8,7.0
2002-10-07/2002-10-13,2002-10-08,18.1914285714,296.694285714,27.9428571429,23.9,9.0
2002-10-14/2002-10-20,2002-10-15,17.95,296.478571429,27.5428571429,23.3,5.0
2002-10-21/2002-10-27,2002-10-22,18.1042857143,296.635714286,27.9857142857,23.9,5.0
2002-10-28/2002-11-03,2002-10-29,17.6885714286,296.24,27.5428571429,23.3,10.0
2002-11-04/2002-11-10,2002-11-05,17.2657142857,295.852857143,27.3857142857,23.3,6.0
2002-11-11/2002-11-17,2002-11-12,16.8185714286,295.447142857,27.3142857143,22.8,13.0
2002-11-18/2002-11-24,2002-11-19,17.3385714286,295.942857143,27.2142857143,23.3,6.0
2002-11-25/2002-12-01,2002-11-26,17.51,296.092857143,26.9857142857,21.7,5.0
2002-12-02/2002-12-08,2002-12-03,16.5785714286,295.205714286,26.4285714286,21.7,5.0
2002-12-09/2002-12-15,2002-12-10,16.3271428571,294.978571429,26.0714285714,21.7,9.0
2002-12-16/2002-12-22,2002-12-17,15.9185714286,294.577142857,25.9285714286,21.7,3.0
2002-12-23/2002-12-29,2002-12-24,16.16,294.805714286,25.7,22.2,6.0
2002-12-30/2003-01-05,2003-01-01,15.8457142857,294.381428571,25.0571428571,21.1,11.0
2003-01-06/2003-01-12,2003-01-08,15.94,294.604285714,25.4571428571,21.1,7.0
2003-01-13/2003-01-19,2003-01-15,15.5871428571,294.217142857,25.7285714286,20.6,7.0
2003-01-20/2003-01-26,2003-01-22,15.6,294.268571429,25.6857142857,21.1,15.0
2003-01-27/2003-02-02,2003-01-29,15.7,294.337142857,25.3285714286,20.6,9.0
2003-02-03/2003-02-09,2003-02-05,15.63,294.257142857,25.2,21.1,6.0
2003-02-10/2003-02-16,2003-02-12,15.9142857143,294.577142857,25.4,21.7,6.0
2003-02-17/2003-02-23,2003-02-19,15.37,294.025714286,25.5857142857,20.6,6.0
2003-02-24/2003-03-02,2003-02-26,15.1942857143,293.854285714,25.6285714286,21.1,7.0
2003-03-03/2003-03-09,2003-03-05,14.8728571429,293.475714286,25.2857142857,20.6,10.0
2003-03-10/2003-03-16,2003-03-12,15.49,294.108571429,26.5428571429,21.7,8.0
2003-03-17/2003-03-23,2003-03-19,14.8842857143,293.484285714,26.4571428571,21.7,7.0
2003-03-24/2003-03-30,2003-03-26,15.2214285714,293.801428571,26.9285714286,22.8,12.0
2003-03-31/2003-04-06,2003-04-02,15.73,294.331428571,26.7,22.2,3.0
2003-04-07/2003-04-13,2003-04-09,15.9014285714,294.542857143,26.4,22.8,2.0
2003-04-14/2003-04-20,2003-04-16,16.3814285714,295.007142857,26.4285714286,22.8,7.0
2003-04-21/2003-04-27,2003-04-23,16.8857142857,295.482857143,25.3571428571,20.6,5.0
2003-04-28/2003-05-04,2003-04-30,16.8328571429,295.447142857,26.9285714286,23.3,5.0
2003-05-05/2003-05-11,2003-05-07,16.5171428571,295.18,27.6428571429,23.3,7.0
2003-05-12/2003-05-18,2003-05-14,15.93,294.601428571,26.9,22.8,7.0
2003-05-19/2003-05-25,2003-05-21,16.5728571429,295.184285714,27.0571428571,22.8,7.0
2003-05-26/2003-06-01,2003-05-28,17.4242857143,296.017142857,27.7571428571,22.8,7.0
2003-06-02/2003-06-08,2003-06-04,16.9014285714,295.555714286,27.9714285714,22.8,10.0
2003-06-09/2003-06-15,2003-06-11,16.7585714286,295.397142857,27.4,22.8,13.0
2003-06-16/2003-06-22,2003-06-18,17.0228571429,295.631428571,27.4714285714,23.9,10.0
2003-06-23/2003-06-29,2003-06-25,17.7542857143,296.352857143,28.0285714286,24.4,14.0
2003-06-30/2003-07-06,2003-07-02,17.7442857143,296.362857143,28.6428571429,24.4,11.0
2003-07-07/2003-07-13,2003-07-09,17.4871428571,296.1,28.0428571429,23.9,20.0
2003-07-14/2003-07-20,2003-07-16,17.7242857143,296.315714286,27.4714285714,21.7,25.0
2003-07-21/2003-07-27,2003-07-23,17.6585714286,296.292857143,28.1428571429,23.3,17.0
2003-07-28/2003-08-03,2003-07-30,18.3385714286,296.894285714,27.8714285714,24.4,18.0
2003-08-04/2003-08-10,2003-08-06,18.2157142857,296.79,28.0714285714,25.0,25.0
2003-08-11/2003-08-17,2003-08-13,18.1457142857,296.69,27.9285714286,24.4,21.0
2003-08-18/2003-08-24,2003-08-20,18.0614285714,296.611428571,28.1428571429,23.9,31.0
2003-08-25/2003-08-31,2003-08-27,18.5714285714,297.048571429,27.9142857143,23.3,32.0
2003-09-01/2003-09-07,2003-09-03,18.9685714286,297.418571429,27.6857142857,24.4,26.0
2003-09-08/2003-09-14,2003-09-10,18.6357142857,297.108571429,28.7285714286,25.0,35.0
2003-09-15/2003-09-21,2003-09-17,18.2985714286,296.775714286,28.8714285714,25.0,28.0
2003-09-22/2003-09-28,2003-09-24,18.6785714286,297.12,28.0428571429,22.2,37.0
2003-09-29/2003-10-05,2003-10-01,18.8242857143,297.267142857,28.6,25.0,41.0
2003-10-06/2003-10-12,2003-10-08,17.8842857143,296.384285714,28.1,24.4,34.0
2003-10-13/2003-10-19,2003-10-15,18.4857142857,296.94,27.1285714286,22.8,30.0
2003-10-20/2003-10-26,2003-10-22,18.3014285714,296.79,28.0285714286,23.9,39.0
2003-10-27/2003-11-02,2003-10-29,18.1571428571,296.651428571,27.8,23.9,39.0
2003-11-03/2003-11-09,2003-11-05,17.47,296.0,27.3714285714,22.2,39.0
2003-11-10/2003-11-16,2003-11-12,18.16,296.665714286,27.1571428571,22.8,34.0
2003-11-17/2003-11-23,2003-11-19,18.37,296.831428571,26.3,23.9,30.0
2003-11-24/2003-11-30,2003-11-26,17.2271428571,295.76,25.9714285714,22.8,37.0
2003-12-01/2003-12-07,2003-12-03,16.2042857143,294.808571429,26.1857142857,21.7,29.0
2003-12-08/2003-12-14,2003-12-10,16.4685714286,295.031428571,25.6428571429,22.2,26.0
2003-12-15/2003-12-21,2003-12-17,16.39,294.992857143,25.8428571429,22.2,15.0
2003-12-22/2003-12-28,2003-12-24,16.3757142857,295.025714286,26.0142857143,21.1,22.0
2003-12-29/2004-01-04,2004-01-01,16.3757142857,295.025714286,26.0142857143,21.1,15.0
2004-01-05/2004-01-11,2004-01-08,13.8814285714,292.374285714,24.3857142857,20.6,20.0
2004-01-12/2004-01-18,2004-01-15,15.2571428571,293.895714286,24.3428571429,20.0,14.0
2004-01-19/2004-01-25,2004-01-22,15.0614285714,293.665714286,24.5285714286,20.6,10.0
2004-01-26/2004-02-01,2004-01-29,14.39,292.878571429,24.6285714286,20.0,21.0
2004-02-02/2004-02-08,2004-02-05,14.9414285714,293.537142857,24.9857142857,19.4,14.0
2004-02-09/2004-02-15,2004-02-12,14.8742857143,293.518571429,24.8857142857,20.0,14.0
2004-02-16/2004-02-22,2004-02-19,14.6528571429,293.27,25.2,20.6,9.0
2004-02-23/2004-02-29,2004-02-26,15.0042857143,293.618571429,24.1857142857,19.4,11.0
2004-03-01/2004-03-07,2004-03-04,15.0657142857,293.645714286,25.1571428571,20.6,5.0
2004-03-08/2004-03-14,2004-03-11,13.6714285714,292.185714286,25.4285714286,21.1,6.0
2004-03-15/2004-03-21,2004-03-18,15.5914285714,294.251428571,25.9142857143,20.6,7.0
2004-03-22/2004-03-28,2004-03-25,15.3385714286,293.961428571,25.5571428571,21.1,11.0
2004-03-29/2004-04-04,2004-04-01,14.7214285714,293.281428571,24.7,20.6,4.0
2004-04-05/2004-04-11,2004-04-08,14.7557142857,293.322857143,25.4,20.6,3.0
2004-04-12/2004-04-18,2004-04-15,15.7485714286,294.332857143,25.9571428571,22.8,2.0
2004-04-19/2004-04-25,2004-04-22,14.6628571429,293.182857143,25.8428571429,21.7,6.0
2004-04-26/2004-05-02,2004-04-29,16.42,295.048571429,26.1571428571,22.8,10.0
2004-05-03/2004-05-09,2004-05-06,15.75,294.38,26.2714285714,22.2,7.0
2004-05-10/2004-05-16,2004-05-13,16.73,295.37,26.7285714286,22.8,5.0
2004-05-17/2004-05-23,2004-05-20,16.5214285714,295.154285714,26.0428571429,22.8,3.0
2004-05-24/2004-05-30,2004-05-27,16.74,295.347142857,24.8142857143,21.7,12.0
2004-05-31/2004-06-06,2004-06-03,17.8814285714,296.445714286,27.9571428571,22.8,13.0
2004-06-07/2004-06-13,2004-06-10,17.4757142857,296.101428571,28.0428571429,23.9,10.0
2004-06-14/2004-06-20,2004-06-17,17.9842857143,296.588571429,28.3285714286,22.8,13.0
2004-06-21/2004-06-27,2004-06-24,17.7942857143,296.415714286,28.2285714286,23.9,13.0
2004-06-28/2004-07-04,2004-07-01,17.9514285714,296.557142857,28.3428571429,23.3,8.0
2004-07-05/2004-07-11,2004-07-08,17.7285714286,296.33,27.8285714286,23.3,21.0
2004-07-12/2004-07-18,2004-07-15,18.2528571429,296.797142857,28.2428571429,25.0,18.0
2004-07-19/2004-07-25,2004-07-22,17.51,296.095714286,28.0142857143,23.9,8.0
2004-07-26/2004-08-01,2004-07-29,18.3071428571,296.822857143,28.0428571429,23.9,7.0
2004-08-02/2004-08-08,2004-08-05,18.0528571429,296.6,28.5285714286,24.4,20.0
2004-08-09/2004-08-15,2004-08-12,17.8185714286,296.4,28.9428571429,24.4,14.0
2004-08-16/2004-08-22,2004-08-19,18.7742857143,297.268571429,29.0,24.4,14.0
2004-08-23/2004-08-29,2004-08-26,18.5314285714,297.054285714,29.0571428571,25.0,7.0
2004-08-30/2004-09-05,2004-09-02,17.8228571429,296.39,28.6142857143,24.4,14.0
2004-09-06/2004-09-12,2004-09-09,18.7171428571,297.15,28.9857142857,25.0,10.0
2004-09-13/2004-09-19,2004-09-16,18.9042857143,297.304285714,28.6428571429,24.4,13.0
2004-09-20/2004-09-26,2004-09-23,18.6457142857,297.081428571,27.2285714286,23.3,27.0
2004-09-27/2004-10-03,2004-09-30,17.9642857143,296.478571429,29.1428571429,24.4,13.0
2004-10-04/2004-10-10,2004-10-07,18.0728571429,296.584285714,28.2857142857,24.4,18.0
2004-10-11/2004-10-17,2004-10-14,18.4028571429,296.864285714,28.1285714286,23.9,16.0
2004-10-18/2004-10-24,2004-10-21,17.6957142857,296.221428571,28.2857142857,23.9,16.0
2004-10-25/2004-10-31,2004-10-28,17.7642857143,296.26,27.5,23.9,20.0
2004-11-01/2004-11-07,2004-11-04,16.8185714286,295.375714286,27.0571428571,22.8,17.0
2004-11-08/2004-11-14,2004-11-11,17.0385714286,295.598571429,27.2428571429,23.9,4.0
2004-11-15/2004-11-21,2004-11-18,17.0071428571,295.557142857,26.3285714286,23.3,15.0
2004-11-22/2004-11-28,2004-11-25,14.9214285714,293.455714286,26.3285714286,23.3,8.0
2004-11-29/2004-12-05,2004-12-02,15.1628571429,293.74,25.6428571429,21.1,6.0
2004-12-06/2004-12-12,2004-12-09,14.7085714286,293.274285714,25.1571428571,20.6,12.0
2004-12-13/2004-12-19,2004-12-16,16.6214285714,295.252857143,26.2714285714,22.8,15.0
2004-12-20/2004-12-26,2004-12-23,17.1485714286,295.741428571,26.2428571429,22.8,11.0
2004-12-27/2005-01-02,2005-01-01,17.1485714286,295.741428571,26.2428571429,22.8,10.0
2005-01-03/2005-01-09,2005-01-08,14.2614285714,292.771428571,24.9857142857,21.1,15.0
2005-01-10/2005-01-16,2005-01-15,15.0428571429,293.667142857,25.2,22.2,17.0
2005-01-17/2005-01-23,2005-01-22,15.6714285714,294.308571429,25.2285714286,21.7,7.0
2005-01-24/2005-01-30,2005-01-29,14.0914285714,292.512857143,23.7571428571,17.8,7.0
2005-01-31/2005-02-06,2005-02-05,13.77,292.2,23.7142857143,19.4,8.0
2005-02-07/2005-02-13,2005-02-12,12.3628571429,290.467142857,23.3142857143,19.4,9.0
2005-02-14/2005-02-20,2005-02-19,12.8071428571,291.037142857,23.4142857143,18.9,12.0
2005-02-21/2005-02-27,2005-02-26,13.2414285714,291.584285714,24.4857142857,21.7,12.0
2005-02-28/2005-03-06,2005-03-05,14.75,293.274285714,25.0285714286,20.0,5.0
2005-03-07/2005-03-13,2005-03-12,15.2042857143,293.77,26.0142857143,20.0,4.0
2005-03-14/2005-03-20,2005-03-19,14.2828571429,292.785714286,25.8428571429,20.0,11.0
2005-03-21/2005-03-27,2005-03-26,14.6685714286,293.217142857,26.4,20.0,4.0
2005-03-28/2005-04-03,2005-04-02,15.7828571429,294.444285714,27.4857142857,22.2,5.0
2005-04-04/2005-04-10,2005-04-09,16.3042857143,294.928571429,27.3,22.2,7.0
2005-04-11/2005-04-17,2005-04-16,16.3157142857,294.947142857,27.4,22.8,1.0
2005-04-18/2005-04-24,2005-04-23,17.0557142857,295.648571429,28.1714285714,22.2,1.0
2005-04-25/2005-05-01,2005-04-30,16.9642857143,295.538571429,26.7857142857,22.8,4.0
2005-05-02/2005-05-08,2005-05-07,16.9628571429,295.554285714,27.3714285714,23.3,2.0
2005-05-09/2005-05-15,2005-05-14,16.6728571429,295.3,27.3,23.3,6.0
2005-05-16/2005-05-22,2005-05-21,17.5328571429,296.075714286,26.2714285714,22.2,3.0
2005-05-23/2005-05-29,2005-05-28,18.4857142857,296.9,28.3857142857,23.9,4.0
2005-05-30/2005-06-05,2005-06-04,19.2071428571,297.598571429,28.8428571429,25.0,10.0
2005-06-06/2005-06-12,2005-06-11,18.1657142857,296.688571429,28.7285714286,24.4,12.0
2005-06-13/2005-06-19,2005-06-18,18.0285714286,296.544285714,27.5142857143,23.9,21.0
2005-06-20/2005-06-26,2005-06-25,19.0414285714,297.458571429,30.0285714286,25.0,26.0
2005-06-27/2005-07-03,2005-07-02,18.8457142857,297.314285714,29.0428571429,24.4,21.0
2005-07-04/2005-07-10,2005-07-09,18.8857142857,297.364285714,29.0285714286,25.0,30.0
2005-07-11/2005-07-17,2005-07-16,18.5085714286,297.0,28.4428571429,24.4,45.0
2005-07-18/2005-07-24,2005-07-23,18.4814285714,296.981428571,28.3857142857,23.9,56.0
2005-07-25/2005-07-31,2005-07-30,19.1142857143,297.58,28.9285714286,23.9,75.0
2005-08-01/2005-08-07,2005-08-06,18.8314285714,297.291428571,28.9428571429,25.0,83.0
2005-08-08/2005-08-14,2005-08-13,18.9385714286,297.367142857,29.4714285714,25.6,82.0
2005-08-15/2005-08-21,2005-08-20,18.72,297.188571429,29.3285714286,25.6,126.0
2005-08-22/2005-08-28,2005-08-27,18.1742857143,296.692857143,27.9285714286,22.8,119.0
2005-08-29/2005-09-04,2005-09-03,18.8671428571,297.287142857,28.0857142857,22.2,137.0
2005-09-05/2005-09-11,2005-09-10,18.1571428571,296.642857143,28.8571428571,24.4,131.0
2005-09-12/2005-09-18,2005-09-17,19.44,297.795714286,29.2428571429,24.4,112.0
2005-09-19/2005-09-25,2005-09-24,18.5057142857,297.0,28.5857142857,24.4,82.0
2005-09-26/2005-10-02,2005-10-01,18.7042857143,297.128571429,28.6285714286,25.0,73.0
2005-10-03/2005-10-09,2005-10-08,18.4985714286,296.957142857,28.0142857143,23.3,43.0
2005-10-10/2005-10-16,2005-10-15,18.0357142857,296.547142857,27.0142857143,22.8,55.0
2005-10-17/2005-10-23,2005-10-22,18.9585714286,297.327142857,28.0428571429,23.3,55.0
2005-10-24/2005-10-30,2005-10-29,18.9914285714,297.387142857,27.9714285714,23.9,53.0
2005-10-31/2005-11-06,2005-11-05,18.34,296.831428571,27.9571428571,23.9,46.0
2005-11-07/2005-11-13,2005-11-12,18.2285714286,296.748571429,27.8714285714,23.3,43.0
2005-11-14/2005-11-20,2005-11-19,17.6385714286,296.194285714,27.1571428571,23.3,29.0
2005-11-21/2005-11-27,2005-11-26,16.5485714286,295.117142857,26.5285714286,22.2,22.0
2005-11-28/2005-12-04,2005-12-03,16.5714285714,295.124285714,26.2285714286,22.8,26.0
2005-12-05/2005-12-11,2005-12-10,14.5071428571,293.015714286,24.9857142857,20.6,13.0
2005-12-12/2005-12-18,2005-12-17,15.7214285714,294.332857143,25.4571428571,21.1,17.0
2005-12-19/2005-12-25,2005-12-24,15.5328571429,294.138571429,24.6285714286,20.6,8.0
2005-12-26/2006-01-01,2006-01-01,16.0271428571,294.682857143,25.8857142857,21.1,13.0
2006-01-02/2006-01-08,2006-01-08,15.2028571429,293.804285714,24.6571428571,20.6,10.0
2006-01-09/2006-01-15,2006-01-15,14.5714285714,293.108571429,24.0571428571,18.9,17.0
2006-01-16/2006-01-22,2006-01-22,15.7942857143,294.417142857,24.7142857143,20.6,19.0
2006-01-23/2006-01-29,2006-01-29,14.8971428571,293.512857143,24.2857142857,20.6,9.0
2006-01-30/2006-02-05,2006-02-05,13.86,292.347142857,23.4142857143,18.9,9.0
2006-02-06/2006-02-12,2006-02-12,14.8985714286,293.457142857,23.9142857143,19.4,9.0
2006-02-13/2006-02-19,2006-02-19,15.2814285714,293.908571429,24.7428571429,20.0,3.0
2006-02-20/2006-02-26,2006-02-26,14.3885714286,292.971428571,24.8571428571,21.1,7.0
2006-02-27/2006-03-05,2006-03-05,13.9514285714,292.461428571,25.3,21.1,7.0
2006-03-06/2006-03-12,2006-03-12,14.4971428571,293.07,25.5285714286,21.1,0.0
2006-03-13/2006-03-19,2006-03-19,13.7,292.131428571,25.5142857143,21.7,2.0
2006-03-20/2006-03-26,2006-03-26,14.8228571429,293.405714286,25.6857142857,21.7,3.0
2006-03-27/2006-04-02,2006-04-02,14.9371428571,293.527142857,26.6571428571,22.2,3.0
2006-04-03/2006-04-09,2006-04-09,15.7942857143,294.418571429,25.4285714286,21.1,1.0
2006-04-10/2006-04-16,2006-04-16,15.5657142857,294.172857143,25.8571428571,22.2,3.0
2006-04-17/2006-04-23,2006-04-23,15.8657142857,294.452857143,26.6857142857,22.8,3.0
2006-04-24/2006-04-30,2006-04-30,15.8328571429,294.438571429,26.3142857143,22.8,3.0
2006-05-01/2006-05-07,2006-05-07,16.1242857143,294.727142857,26.5,22.2,7.0
2006-05-08/2006-05-14,2006-05-14,14.9857142857,293.515714286,25.9428571429,22.2,3.0
2006-05-15/2006-05-21,2006-05-21,17.7342857143,296.295714286,27.8142857143,23.3,5.0
2006-05-22/2006-05-28,2006-05-28,17.7928571429,296.365714286,29.0285714286,24.4,11.0
2006-05-29/2006-06-04,2006-06-04,17.29,295.912857143,28.5857142857,24.4,5.0
2006-06-05/2006-06-11,2006-06-11,17.4642857143,296.052857143,28.9142857143,24.4,5.0
2006-06-12/2006-06-18,2006-06-18,17.7842857143,296.361428571,28.9428571429,23.3,6.0
2006-06-19/2006-06-25,2006-06-25,18.0914285714,296.642857143,28.0714285714,23.9,6.0
2006-06-26/2006-07-02,2006-07-02,18.6714285714,297.161428571,27.8714285714,22.8,4.0
2006-07-03/2006-07-09,2006-07-09,17.9157142857,296.518571429,27.9428571429,22.8,4.0
2006-07-10/2006-07-16,2006-07-16,18.2157142857,296.78,27.8428571429,22.8,8.0
2006-07-17/2006-07-23,2006-07-23,18.0114285714,296.587142857,27.4857142857,22.8,14.0
2006-07-24/2006-07-30,2006-07-30,18.2071428571,296.762857143,28.6,23.9,12.0
2006-07-31/2006-08-06,2006-08-06,18.4271428571,296.958571429,27.8285714286,22.8,16.0
2006-08-07/2006-08-13,2006-08-13,18.0071428571,296.57,27.4428571429,23.9,10.0
2006-08-14/2006-08-20,2006-08-20,18.3271428571,296.84,28.6428571429,24.4,16.0
2006-08-21/2006-08-27,2006-08-27,18.5071428571,297.001428571,27.9857142857,23.9,18.0
2006-08-28/2006-09-03,2006-09-03,18.6328571429,297.13,28.1285714286,23.3,15.0
2006-09-04/2006-09-10,2006-09-10,18.4014285714,296.881428571,28.5428571429,24.4,23.0
2006-09-11/2006-09-17,2006-09-17,18.3828571429,296.861428571,28.5285714286,23.9,17.0
2006-09-18/2006-09-24,2006-09-24,18.21,296.721428571,28.8285714286,23.9,33.0
2006-09-25/2006-10-01,2006-10-01,18.3985714286,296.898571429,28.9571428571,25.0,15.0
2006-10-02/2006-10-08,2006-10-08,18.0014285714,296.547142857,28.8571428571,24.4,13.0
2006-10-09/2006-10-15,2006-10-15,18.2628571429,296.764285714,28.7,23.9,11.0
2006-10-16/2006-10-22,2006-10-22,18.3942857143,296.844285714,28.3571428571,23.9,14.0
2006-10-23/2006-10-29,2006-10-29,18.46,296.877142857,28.1142857143,23.3,17.0
2006-10-30/2006-11-05,2006-11-05,18.9471428571,297.365714286,28.5,25.0,19.0
2006-11-06/2006-11-12,2006-11-12,17.6171428571,296.164285714,27.9857142857,24.4,20.0
2006-11-13/2006-11-19,2006-11-19,16.4642857143,295.062857143,27.1857142857,23.3,12.0
2006-11-20/2006-11-26,2006-11-26,16.08,294.655714286,27.0428571429,22.8,21.0
2006-11-27/2006-12-03,2006-12-03,17.3457142857,295.915714286,27.4142857143,22.2,7.0
2006-12-04/2006-12-10,2006-12-10,15.97,294.574285714,25.9428571429,22.2,19.0
2006-12-11/2006-12-17,2006-12-17,16.9871428571,295.591428571,26.5285714286,22.8,10.0
2006-12-18/2006-12-24,2006-12-24,15.9171428571,294.551428571,25.9285714286,22.2,13.0
